iter	Passed	Remaining
0	1	190
1	3	176
2	5	167
3	6	149
4	7	145
5	9	149
6	11	151
7	13	151
8	15	152
9	16	150
10	18	147
11	19	143
12	21	141
13	22	139
14	24	139
15	26	137
16	27	131
17	27	127
18	29	124
19	30	120
20	31	118
21	33	118
22	34	117
23	36	115
24	37	112
25	39	111
26	40	110
27	42	109
28	43	107
29	45	106
30	47	104
31	48	103
32	49	101
33	51	100
34	52	97
35	54	96
36	55	94
37	57	93
38	58	91
39	59	89
40	61	87
41	61	84
42	62	82
43	63	81
44	65	79
45	66	78
46	68	77
47	69	75
48	71	74
49	73	73
50	74	71
51	76	70
52	77	68
53	79	67
54	80	65
55	81	64
56	83	63
57	84	61
58	86	60
59	88	58
60	89	57
61	91	55
62	92	54
63	93	52
64	94	51
65	96	49
66	97	47
67	98	46
68	99	44
69	101	43
70	103	42
71	104	40
72	106	39
73	107	37
74	109	36
75	110	34
76	111	33
77	113	32
78	114	30
79	116	29
80	119	27
81	120	26
82	121	24
83	123	23
84	124	22
85	126	20
86	128	19
87	129	17
88	131	16
89	132	14
90	134	13
91	135	11
92	136	10
93	138	8
94	139	7
95	141	5
96	142	4
97	143	2
98	145	1
99	146	0
